month,day,sunrise_hour,sunrise_minute,sunset_hour,sunset_minute
7,29,5,42,20,11
7,30,5,43,20,10
7,31,5,44,20,9
8,1,5,45,20,8
8,2,5,46,20,7
8,3,5,47,20,6
8,4,5,48,20,5
8,5,5,49,20,3
8,6,5,50,20,2
8,7,5,51,20,1
8,8,5,52,19,59
8,9,5,53,19,58
8,10,5,54,19,57
8,11,5,55,19,55
8,12,5,56,19,54
8,13,5,57,19,53
8,14,5,58,19,51
8,15,5,59,19,50
8,16,6,0,19,48
8,17,6,1,19,47
8,18,6,2,19,45
8,19,6,3,19,44
8,20,6,4,19,42
8,21,6,5,19,41
8,22,6,6,19,39
8,23,6,7,19,38
8,24,6,8,19,36
8,25,6,9,19,35
8,26,6,10,19,33
8,27,6,11,19,31
8,28,6,12,19,30
8,29,6,13,19,28
8,30,6,14,19,26
8,31,6,15,19,25
9,1,6,16,19,23
9,2,6,17,19,21
9,3,6,19,19,20
9,4,6,20,19,18
9,5,6,21,19,16
9,6,6,22,19,15
9,7,6,23,19,13
9,8,6,24,19,11
9,9,6,25,19,10
9,10,6,26,19,8
9,11,6,27,19,6
9,12,6,28,19,4
9,13,6,29,19,3
9,14,6,30,19,1
9,15,6,31,18,59
9,16,6,32,18,57
9,17,6,33,18,56
9,18,6,34,18,54
9,19,6,35,18,52
9,20,6,36,18,50
9,21,6,37,18,49
9,22,6,38,18,47
9,23,6,39,18,45
9,24,6,40,18,43
9,25,6,41,18,42
9,26,6,42,18,40
9,27,6,43,18,38
9,28,6,44,18,36
9,29,6,45,18,35
9,30,6,47,18,33
10,1,6,48,18,31
10,2,6,49,18,30
10,3,6,50,18,28
10,4,6,51,18,26
10,5,6,52,18,24
10,6,6,53,18,23
10,7,6,54,18,21
10,8,6,55,18,19
10,9,6,56,18,18
10,10,6,57,18,16
10,11,6,59,18,15
10,12,7,0,18,13
10,13,7,1,18,11
10,14,7,2,18,10
10,15,7,3,18,8
10,16,7,4,18,7
10,17,7,5,18,5
10,18,7,7,18,3
10,19,7,8,18,2
10,20,7,9,18,0
10,21,7,10,17,59
10,22,7,11,17,58
10,23,7,12,17,56
10,24,7,14,17,55
10,25,7,15,17,53
10,26,7,16,17,52
10,27,7,17,17,50
10,28,7,18,17,49
10,29,7,20,17,48
10,30,7,21,17,46
10,31,7,22,17,45
11,1,7,23,17,44
11,2,7,24,17,43
11,3,6,26,16,41
11,4,6,27,16,40
11,5,6,28,16,39
11,6,6,29,16,38
11,7,6,31,16,37
11,8,6,32,16,36
11,9,6,33,16,35
11,10,6,34,16,34
11,11,6,36,16,33
11,12,6,37,16,32
11,13,6,38,16,31
11,14,6,39,16,30
11,15,6,40,16,29
11,16,6,42,16,28
11,17,6,43,16,27
11,18,6,44,16,27
11,19,6,45,16,26
11,20,6,46,16,25
11,21,6,48,16,24
11,22,6,49,16,24
11,23,6,50,16,23
11,24,6,51,16,23
11,25,6,52,16,22
11,26,6,53,16,22
11,27,6,54,16,21
11,28,6,56,16,21
11,29,6,57,16,20
11,30,6,58,16,20
12,1,6,59,16,20
12,2,7,0,16,20
12,3,7,1,16,19
12,4,7,2,16,19
12,5,7,3,16,19
12,6,7,4,16,19
12,7,7,5,16,19
12,8,7,5,16,19
12,9,7,6,16,19
12,10,7,7,16,19
12,11,7,8,16,19
12,12,7,9,16,19
12,13,7,10,16,19
12,14,7,10,16,20
12,15,7,11,16,20
12,16,7,12,16,20
12,17,7,12,16,21
12,18,7,13,16,21
12,19,7,13,16,21
12,20,7,14,16,22
12,21,7,14,16,22
12,22,7,15,16,23
12,23,7,15,16,23
12,24,7,16,16,24
12,25,7,16,16,25
12,26,7,16,16,25
12,27,7,17,16,26
12,28,7,17,16,27
12,29,7,17,16,28
12,30,7,17,16,28
12,31,7,18,16,29
