crime_ucr,crime_iucr,crime_primary_type,crime_description,notes,n,crime_group_large_inferred,crime_group_inferred,crime_index,weapon_inferred,shooting_ind_inferred,victim_type_inferred,weapon_firearm_ind_inferred,drug_type_inferred,drug_crime_class_inferred
04B,489,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER FIREARM,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",136,Part I Violent,Assault,I,Firearm,Firearm - Nonfatal Shooting,Domestic,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
04B,490,RITUALISM,AGG RITUAL MUT:HANDGUN,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",5,Part I Violent,Assault,I,Firearm,Firearm - Nonfatal Shooting,General,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
04B,041A,BATTERY,AGGRAVATED: HANDGUN,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",37661,Part I Violent,Assault,I,Firearm,Firearm - Nonfatal Shooting,General,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
04B,041B,BATTERY,AGGRAVATED: OTHER FIREARM,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",1328,Part I Violent,Assault,I,Firearm,Firearm - Nonfatal Shooting,General,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
04B,420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",27614,Part I Violent,Assault,I,Knife/Sharp Object,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
04B,452,BATTERY,AGGRAVATED PO: KNIFE/CUT INSTR,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",227,Part I Violent,Assault,I,Knife/Sharp Object,No Shooting,Police Officer,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
04B,482,BATTERY,AGG PRO.EMP:KNIFE/CUTTING INST,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",188,Part I Violent,Assault,I,Knife/Sharp Object,No Shooting,Protected Employee,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
04B,492,RITUALISM,AGG RITUAL MUT:KNIFE/CUTTING I,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",5,Part I Violent,Assault,I,Knife/Sharp Object,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
04B,496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",13172,Part I Violent,Assault,I,Knife/Sharp Object,No Shooting,Domestic,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
04B,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",69422,Part I Violent,Assault,I,Other Weapon,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
04B,453,BATTERY,AGGRAVATED PO: OTHER DANG WEAP,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",1605,Part I Violent,Assault,I,Other Weapon,No Shooting,Police Officer,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
5,610,BURGLARY,FORCIBLE ENTRY,,267522,Part I Property,Burglary,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
5,620,BURGLARY,UNLAWFUL ENTRY,,105703,Part I Property,Burglary,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
5,630,BURGLARY,ATTEMPT FORCIBLE ENTRY,,17359,Part I Property,Burglary,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
5,650,BURGLARY,HOME INVASION,,5256,Part I Property,Burglary,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
6,810,THEFT,OVER $300,,13,Part I Property,Larceny-Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
6,810,THEFT,OVER $500,,360167,Part I Property,Larceny-Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
6,820,THEFT,$300 AND UNDER,,15,Part I Property,Larceny-Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
6,820,THEFT,$500 AND UNDER,,565325,Part I Property,Larceny-Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
6,830,THEFT,THEFT RETAIL,,1,Part I Property,Larceny-Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
6,840,THEFT,FINANCIAL ID THEFT: OVER $300,,44531,Part I Property,Larceny-Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
6,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,,15206,Part I Property,Larceny-Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
6,842,THEFT,AGG: FINANCIAL ID THEFT,,2901,Part I Property,Larceny-Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
6,843,THEFT,ATTEMPT FINANCIAL IDENTITY THEFT,,2955,Part I Property,Larceny-Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
6,850,THEFT,ATTEMPT THEFT,,11538,Part I Property,Larceny-Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
6,860,THEFT,RETAIL THEFT,,175843,Part I Property,Larceny-Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
6,865,THEFT,DELIVERY CONTAINER THEFT,,917,Part I Property,Larceny-Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
6,870,THEFT,POCKET-PICKING,,35121,Part I Property,Larceny-Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
6,880,THEFT,PURSE-SNATCHING,,17069,Part I Property,Larceny-Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
6,890,THEFT,FROM BUILDING,,235729,Part I Property,Larceny-Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
6,895,THEFT,FROM COIN-OP MACHINE/DEVICE,,1111,Part I Property,Larceny-Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
7,910,MOTOR VEHICLE THEFT,AUTOMOBILE,,252807,Part I Property,Motor Vehicle Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
7,915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",,24702,Part I Property,Motor Vehicle Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
7,917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",,5150,Part I Property,Motor Vehicle Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
7,918,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE NO VIN",,136,Part I Property,Motor Vehicle Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
7,920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,,11566,Part I Property,Motor Vehicle Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
7,925,MOTOR VEHICLE THEFT,"ATT: TRUCK, BUS, MOTOR HOME",,1156,Part I Property,Motor Vehicle Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
7,927,MOTOR VEHICLE THEFT,"ATTEMPT: CYCLE, SCOOTER, BIKE W-VIN",,102,Part I Property,Motor Vehicle Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
7,928,MOTOR VEHICLE THEFT,"ATTEMPT: CYCLE, SCOOTER, BIKE NO VIN",,7,Part I Property,Motor Vehicle Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
7,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,,23055,Part I Property,Motor Vehicle Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
7,935,MOTOR VEHICLE THEFT,"THEFT/RECOVERY: TRUCK,BUS,MHOME",,2819,Part I Property,Motor Vehicle Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
7,937,MOTOR VEHICLE THEFT,"THEFT/RECOVERY: CYCLE, SCOOTER, BIKE W-VIN",,199,Part I Property,Motor Vehicle Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
7,938,MOTOR VEHICLE THEFT,"THEFT/RECOVERY: CYCLE, SCOOTER, BIKE NO VIN",,11,Part I Property,Motor Vehicle Theft,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
9,1010,ARSON,BY EXPLOSIVE,"FBI: The property crime category includes arson because the offense involves the destruction of property; however, arson victims may be subjected to force. https://ucr.fbi.gov/crime-in-the-u.s/2010/crime-in-the-u.s.-2010/property-crime. Becomes aggravated if causes bodily harm",100,Part I Property,Arson,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
9,1020,ARSON,BY FIRE,"FBI: The property crime category includes arson because the offense involves the destruction of property; however, arson victims may be subjected to force. https://ucr.fbi.gov/crime-in-the-u.s/2010/crime-in-the-u.s.-2010/property-crime. Becomes aggravated if causes bodily harm",7476,Part I Property,Arson,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,1030,ARSON,POS: EXPLOSIVE/INCENDIARY DEV,,74,Weapon Violation,Weapon Violation,N,Other Weapon,Non-Violent,Non-Violent,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
26,1030,ARSON,POS: EXPLOSIVE/INCENDIARY DEV,,74,Weapon Violation,Weapon Violation,N,Other Weapon,Non-Violent,Non-Violent,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
9,1090,ARSON,ATTEMPT ARSON,"FBI: The property crime category includes arson because the offense involves the destruction of property; however, arson victims may be subjected to force. https://ucr.fbi.gov/crime-in-the-u.s/2010/crime-in-the-u.s.-2010/property-crime. Becomes aggravated if causes bodily harm",1857,Part I Property,Arson,I,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
04B,483,BATTERY,AGG PRO.EMP: OTHER DANG WEAPON,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",1404,Part I Violent,Assault,I,Other Weapon,No Shooting,Protected Employee,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
10,1120,DECEPTIVE PRACTICE,FORGERY,,17745,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
10,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,,12497,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
10,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,,7967,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1110,DECEPTIVE PRACTICE,BOGUS CHECK,,14759,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,,34252,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1135,DECEPTIVE PRACTICE,INSURANCE FRAUD,,105,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,,56410,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1151,DECEPTIVE PRACTICE,ILLEGAL POSSESSION CASH CARD,,881,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,,33202,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,29634,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,8694,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1155,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,,698,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,,3144,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1160,DECEPTIVE PRACTICE,ALTER COINS,,6,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1170,DECEPTIVE PRACTICE,IMPERSONATION,,938,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1185,DECEPTIVE PRACTICE,DECEPTIVE COLLECTION PRACTICES,,832,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1195,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED,,1984,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1205,DECEPTIVE PRACTICE,"THEFT BY LESSEE,NON-VEH",,490,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",,5026,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,,31947,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,,8698,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1230,DECEPTIVE PRACTICE,POSS. KEYS OR DEV.TO COIN MACH,,32,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1235,DECEPTIVE PRACTICE,UNLAWFUL USE OF RECORDED SOUND,,1400,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1240,DECEPTIVE PRACTICE,UNLAWFUL USE OF A COMPUTER,,459,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1241,DECEPTIVE PRACTICE,AGGRAVATED COMPUTER TAMPERING,,24,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,,1878,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1245,DECEPTIVE PRACTICE,PAY TV SERVICE OFFENSES,,263,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1255,DECEPTIVE PRACTICE,UNIDENTIFIABLE RECORDING SOUND,,314,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1260,DECEPTIVE PRACTICE,LIBRARY THEFT,,51,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
9,1035,ARSON,POS: CHEMICAL/DRY-ICE DEVICE,,1,Weapon Violation,Weapon Violation,N,Other Weapon,Non-Violent,Non-Violent,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
12,1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,,1447,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
13,1200,DECEPTIVE PRACTICE,STOLEN PROP: BUY/RECEIVE/POS.,,2818,Part II Property,Fraud and Theft,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
14,1265,CRIMINAL DAMAGE,LIBRARY VANDALISM,,76,Part II Property,Vandalism,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
14,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,,34369,Part II Property,Vandalism,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
14,1310,CRIMINAL DAMAGE,TO PROPERTY,,365258,Part II Property,Vandalism,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
14,1320,CRIMINAL DAMAGE,TO VEHICLE,,372549,Part II Property,Vandalism,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
14,1340,CRIMINAL DAMAGE,TO STATE SUP PROP,,5827,Part II Property,Vandalism,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
14,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,,13686,Part II Property,Vandalism,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
14,1370,CRIMINAL DAMAGE,TO FIRE FIGHT.APP.EQUIP,,385,Part II Property,Vandalism,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
